id,place,weight_lbs,grower_name,city,state_prov,country,gpc_site,seed_mother,pollinator_father,ott,est_weight,pct_chart,variety,weight_kg,weight_class
2449-P,40,2036.328470272012,EOMGO,Houston,Texas,Mexico,Regional Pumpkin Festival,1354 U,1264 F,476,1998,5,Kikuza,923.6623034876225,Medium
2345-P,5,1989.433849165216,TETIL,Paris,California,France,National Pumpkin Festival,1545 C,1573 R,452,1812,14,Pumpkin Pie,902.3912785105487,Medium
2335-P,71,1900.559296566993,IGUXV,Los Angeles,California,USA,Regional Pumpkin Festival,1835 O,1630 P,443,1746,5,Pumpkin Pie,862.0784924484154,Medium
2246-P,6,1884.0339918648824,XVXRN,Nottingham,Florida,Mexico,Regional Pumpkin Festival,1903 A,1658 W,435,1665,11,Kikuza,854.5827464379757,Medium
2858-P,75,1807.4403143925592,BXWWO,New York,California,France,Regional Pumpkin Festival,1756 E,1927 H,426,1616,11,Kabocha,819.8404670859497,Medium
2545-P,22,1776.209580419585,EBZRN,Chicago,Texas,France,Local Pumpkin Festival,1644 L,1160 A,422,1573,7,Kabocha,805.6744560016805,Medium
2135-P,45,1746.8485991802067,HOVTE,Paris,Texas,France,Regional Pumpkin Festival,1800 U,1121 I,441,1705,5,Kikuza,792.3565497993484,Medium
2090-P,9,1754.2794335968792,ZBHLZ,Los Angeles,New York,Mexico,Local Pumpkin Festival,1981 J,1752 O,424,1522,17,Kabocha,795.7271168440757,Medium
2120-P,86,1677.5201119408011,QQYYX,Nottingham,California,USA,National Pumpkin Festival,1542 R,1668 X,424,1567,4,Queensland Blue,760.9097026154519,Medium
2619-P,43,1663.29099353496,HNRQZ,New York,California,France,Regional Pumpkin Festival,1956 W,1949 S,405,1426,12,Pumpkin Pie,754.4554883395097,Medium
2963-P,80,1575.237303391099,NABRZ,Paris,New York,Mexico,Regional Pumpkin Festival,1559 W,1115 E,423,1537,1,Kikuza,714.5150389197754,Medium
2126-P,21,1558.4773830967024,OUQWA,Paris,California,USA,Local Pumpkin Festival,1169 I,1432 O,400,1384,10,Kikuza,706.9128731535994,Medium
2426-P,92,1554.7234065774828,QPRGG,Paris,California,France,Regional Pumpkin Festival,1986 N,1076 U,429,1616,-7,Queensland Blue,705.2100994362936,Medium
2541-P,32,1523.1503943286837,QONOW,Nottingham,Texas,Mexico,National Pumpkin Festival,1060 Y,1940 W,405,1433,8,Kikuza,690.8888336643363,Medium
2420-P,74,1531.1141928490251,QDEQS,New York,Florida,USA,Local Pumpkin Festival,1205 I,1621 G,399,1339,18,Kikuza,694.501148962775,Medium
2632-P,29,1527.2149363392964,JSJWA,New York,Texas,USA,Regional Pumpkin Festival,1444 M,1570 G,413,1429,3,Kabocha,692.7324774040142,Medium
2973-P,45,1524.402046682313,OFLMU,Los Angeles,Florida,USA,National Pumpkin Festival,1341 S,1884 S,424,1511,-3,Pumpkin Pie,691.4565731587237,Medium
